movieCd,rating
20108787,8.88
20108880,8.07
20108884,
20108894,
20108907,
20108944,
20109031,8.63
2010A057,
2010A522,
2010A572,7.78
2010A873,7.89
2010G561,
2010G726,
20110014,5.94
20110018,5.25
20110020,
20110024,
20110025,
20110026,
20110027,7.87
20110030,8.57
20110063,
20110162,8.19
20110191,9.63
20110193,
20110233,6.82
20110254,7.79
20110279,8.88
20110293,9.0
20110436,
20110488,
20110519,
20110602,7.45
20110608,8.47
20110721,7.0
20110749,10.0
20110875,0.0
20110876,8.17
20110881,7.11
20110985,6.82
20111009,9.31
20111021,8.5
20111031,
20111060,
20111070,
20111087,
20111102,
20111116,7.92
20111224,7.62
20111260,7.75
20111295,
20111409,9.2
20111469,5.33
20111486,6.5
20111488,0.0
20111491,9.5
20111539,10.0
20111586,0.0
20111587,8.42
20111629,6.67
20111686,
20111695,8.97
20111879,
20111898,8.11
20111911,5.33
20112151,
20112212,8.83
20112373,
20112443,
20112457,8.75
20112464,8.5
20112465,
20112534,9.26
20112561,
20112589,9.13
20112695,8.77
20112703,9.02
20112753,
20112765,6.33
20112766,
20112768,7.83
20112771,8.78
20112773,10.0
20112774,
20112775,
20112776,9.1
20112777,8.0
20112781,8.27
20112791,
20112793,
20112795,7.17
20112808,9.1
20112841,8.27
20112842,
20112921,6.96
20112931,
20113151,
20113231,
20113271,8.88
20113308,8.47
20113391,6.12
20113471,9.28
20113481,8.6
20113486,8.37
20113491,8.32
20113535,8.92
20113553,
20113554,8.56
20113557,8.62
20113567,9.11
20113634,7.86
20113643,
20113711,8.44
20113714,6.88
20113797,
20113811,8.63
20113835,7.75
20113877,8.41
20113916,6.7
20113917,8.09
20113972,
20114793,
20114868,8.2
20114900,8.13
20116046,6.38
20116061,0.0
20116121,10.0
20119126,8.31
20119138,10.0
20119159,8.53
20119337,9.33
20119421,
20119436,
20119437,
20119443,7.0
20119470,10.0
20119480,10.0
20119502,
20119509,
20119543,8.6
20119598,
20119601,8.15
20119668,
20119793,
20119827,
20119836,
20119872,
20119927,7.78
20119958,
20119970,7.1
20119971,5.7
20119982,3.22
20119990,9.08
20120083,8.0
20120102,
20120103,
20120104,7.9
20120105,
20120106,
20120107,
20120108,6.2
20120109,4.89
20120110,7.46
20120111,7.89
20120112,8.05
20120132,
20120137,
20120163,
20120164,10.0
20120169,
20120261,6.7
20120281,10.0
20120363,8.1
20120364,7.95
20120381,7.05
20120383,
20120401,
20120422,7.7
20120424,8.62
20120425,4.8
20120426,8.12
20120428,7.39
20120430,9.12
20120431,
20120464,
20120467,7.29
20120604,9.29
20120663,9.33
20120684,10.0
20120726,8.15
20120801,8.98
20120802,
20120844,
20120896,8.38
20120941,8.86
20120970,
20121021,
20121040,
20121072,8.36
20121079,5.26
20121086,7.3
20121093,
20121094,6.98
20121095,8.86
20121097,
20121131,8.67
20121153,8.23
20121421,9.5
20121455,
20121464,
20121549,
20121550,
20121602,
20121621,8.86
20121622,6.65
20121721,7.64
20121730,9.5
20121731,7.9
20121741,6.7
20121821,7.38
20121861,8.15
20121862,
20121864,
20121995,
20122005,8.0
20122021,6.59
20122063,8.63
20122064,9.39
20122066,
20122068,8.5
20122076,7.54
20122080,7.25
20122083,8.0
20122089,8.81
20122101,
20122121,8.38
20122122,8.21
20122123,8.56
20122124,8.07
20122125,0.0
20122130,9.0
20122132,
20122192,7.76
20122221,7.62
20122222,9.01
20122223,7.53
20122225,5.68
20122226,7.78
20122227,7.5
20122228,7.24
20122229,8.49
20122230,
20122231,8.13
20122232,8.41
20122233,8.97
20122464,0.0
20122466,5.28
20122523,8.47
20122543,0.0
20122574,10.0
20122581,7.44
20122625,7.16
20122761,5.48
20122781,3.89
20122782,8.19
20122783,
20122784,8.54
20122785,6.35
20122786,
20122787,9.26
20122801,7.04
20122803,8.66
20122832,4.11
20122843,7.82
20122861,8.06
20122865,
20122882,8.1
20122901,7.8
20122908,
20123004,
20123041,
20123082,8.61
20123155,7.25
20123161,8.64
20123201,7.41
20123202,8.07
20123217,10.0
20123221,5.13
20123301,5.77
20123329,8.97
20123333,
20123344,
20123363,
20123365,
20123381,
20123382,7.67
20123383,7.83
20123384,6.87
20123386,5.47
20123387,7.12
20123421,
20123422,7.79
20123483,8.14
20123484,8.59
20123500,8.38
20123501,
20123521,
20123581,
20123602,8.21
20123603,
20123629,
20123641,7.7
20123644,6.91
20123662,8.05
20123664,
20123681,8.57
20123741,
20123781,7.41
20123821,
20124013,6.1
20124024,8.23
20124031,2.23
20124034,
20124039,
20124043,
20124044,
20124047,5.33
20124048,7.64
20124050,7.97
20124052,8.43
20124054,8.64
20124059,7.07
20124060,7.53
20124061,8.07
20124062,7.2
20124066,7.09
20124069,
20124074,
20124075,8.48
20124079,9.24
20124082,7.75
20124083,
20124086,
20124134,8.2
20124136,9.02
20124142,9.34
20124247,9.0
20124250,6.6
20124336,
20124346,
20124348,
20124350,
20124356,
20124360,8.0
20124398,6.73
20124399,8.57
20124401,8.9
20124402,6.45
20124427,7.82
20124454,9.0
20124466,9.13
20124530,9.3
20124547,
20124549,
20124552,
20124555,
20124568,8.0
20124633,
20124635,
20124638,6.21
20124668,7.64
20124675,7.5
20124707,7.5
20124709,9.36
20124718,0.0
20124723,
20124725,
20124726,8.24
20124933,8.72
20124935,8.09
20124936,8.23
20124937,7.04
20124938,8.35
20125001,9.0
20125005,6.67
20125006,10.0
20125048,8.42
20125208,9.13
20125228,
20125231,
20125232,
20125246,5.84
20125247,7.1
20125266,8.72
20125333,7.57
20125343,6.2
20125426,7.48
20125428,8.5
20125430,
20125431,9.02
20125510,0.0
20125527,
20125567,
20125607,
20125648,5.41
20125686,5.17
20125827,6.42
20125920,7.52
20125967,7.68
20125990,7.79
20125997,6.0
20126001,7.99
20126003,8.61
20126004,6.37
20126005,7.2
20126008,7.55
20126010,8.66
20126070,
20126087,6.89
20126090,4.03
20126091,7.98
20126126,
20126244,4.0
20126247,10.0
20126252,9.89
20126253,7.36
20126306,8.47
20126327,8.25
20126328,7.0
20126331,
20126333,9.22
20126388,8.7
20126407,
20126507,8.36
20126528,10.0
20126543,9.0
20126544,9.29
20126575,8.86
20126580,
20126583,8.41
20126611,8.29
20126669,
20126671,
20126672,
20126673,8.56
20126674,7.97
20126686,8.56
20127146,10.0
20127185,
20127189,8.83
20127190,8.49
20127191,9.08
20127194,8.9
20127201,0.0
20127466,
20127494,9.12
20127526,7.88
20127546,7.21
20127568,8.73
20127587,6.44
20127589,0.0
20127593,8.83
20127595,7.3
20127597,8.92
20127628,
20127633,
20127915,
20128001,
20128079,8.34
20128247,8.14
20128274,8.35
20128386,8.85
20128487,
20128546,8.41
20128588,9.02
20128609,9.2
20128610,7.0
20128629,
20128669,
20128687,6.05
20128690,7.44
20128691,7.07
20128694,8.76
20128746,8.98
20128747,6.68
20128812,10.0
20128828,0.0
20128887,0.0
20128931,
20128937,5.0
20128946,
20129026,
20129027,
20129035,
20129036,0.0
20129040,8.25
20129041,0.0
20129073,
20129074,7.0
20129075,0.0
20129076,
20129087,
20129089,7.67
20129099,
20129105,
20129114,7.22
20129116,
20129117,
20129150,
20129156,
20129211,6.59
20129260,8.24
20129262,8.19
20129287,8.22
20129327,9.48
20129332,8.15
20129368,8.25
20129370,8.45
20129386,7.0
20129387,8.17
20129388,9.33
20129467,
20129469,
20129477,8.54
20129480,
20129490,
20129492,
20129511,8.0
20129588,7.31
20129606,7.15
20129633,7.0
20129636,
20129641,
20129647,
20129650,
20129677,
20129680,
20129690,7.5
20129691,0.0
20129694,0.0
20129707,
20129712,
20129727,8.47
20129786,6.65
20129787,7.72
20129788,7.27
20129827,7.2
20129836,
20129837,
20129917,
20129924,10.0
20129935,10.0
20129941,8.33
20129944,
20129945,8.22
20129946,9.0
20129948,0.0
20129954,0.0
20129962,
20129995,0.0
20129996,
20130021,
20130041,
20130042,
20130089,0.0
20130160,0.0
20130170,7.14
20130184,9.5
20130187,10.0
20130217,0.0
20130241,
20130243,5.45
20130244,7.52
20130248,
20130250,
20130251,
20130252,
20130254,5.68
20130260,7.69
20130283,0.0
20130326,0.0
20130337,
20130375,9.81
20130389,2.83
20130421,8.46
20130423,4.67
20130424,
20130442,9.01
20130443,
20130448,
20130453,9.0
20130481,7.59
20130482,7.53
20130483,8.12
20130501,8.35
20130522,7.96
20130541,6.97
20130542,9.0
20130543,8.36
20130561,7.65
20130566,7.8
20130567,8.69
20130568,9.0
20130569,8.34
20130573,
20130574,9.02
20130592,5.57
20130601,8.33
20130662,4.33
20130667,7.2
20130669,1.79
20130681,8.45
20130686,3.81
20130689,6.61
20130690,7.53
20130701,
20130702,
20130703,6.98
20130704,8.85
20130705,7.47
20130706,5.35
20130708,5.3
20130709,5.13
20130710,7.42
20130783,8.1
20130784,
20130801,8.26
20130821,
20130841,
20130929,
20130952,
20130961,7.26
20130982,
20131001,3.54
20131002,3.38
20131003,6.77
20131043,
20131081,9.67
20131082,3.52
20131083,6.46
20131084,7.0
20131086,7.11
20131102,9.0
20131109,1.66
20131165,2.2
20131181,7.93
20131202,5.83
20131203,6.71
20131204,7.1
20131206,7.75
20131221,
20131222,6.35
20131241,
20131244,2.8
20131245,
20131246,7.17
20131247,6.91
20131248,8.92
20131261,7.62
20131262,7.51
20131263,8.77
20131281,8.13
20131301,3.78
20131302,5.0
20131303,6.75
20131304,
20131361,6.8
20131381,8.23
20131401,3.3
20131461,8.63
20131462,8.45
20131521,6.1
